_date,total_clones,unique_clones
2020-10-22,6,6
2020-10-23,5,5
2020-10-24,1,1
2020-10-26,1,1
2020-10-27,3,3
2020-10-28,3,3
2020-10-29,17,2
2020-10-30,17,5
2020-10-31,1,1
2020-11-01,1,1
2020-11-03,11,11
2020-11-04,8,3
2020-11-05,1,1
2020-11-09,6,4
2020-11-10,4,4
2020-11-12,4,3
2020-11-13,1,1
2020-11-14,3,3
2020-11-16,5,4
2020-11-17,2,2
2020-11-19,1,1
2020-11-20,2,2
2020-11-22,2,1
2020-11-23,3,3
2020-11-25,2,2
2020-11-27,2,1
2020-11-28,4,2
2020-11-29,2,1
2020-11-30,2,2
2020-12-01,14,9
2020-12-02,6,6
2020-12-03,2,2
2020-12-04,25,10
2020-12-06,1,1
2020-12-07,1,1
2020-12-08,1,1
2020-12-09,1,1
2020-12-10,1,1
2020-12-11,1,1
2020-12-14,1,1
2020-12-15,1,1
2020-12-16,1,1
2020-12-18,2,2
2020-12-20,1,1
2020-12-21,1,1
2020-12-22,1,1
2020-12-24,1,1
2020-12-28,1,1
2021-01-01,1,1
2021-01-04,1,1
2021-01-05,1,1
2021-01-07,4,3
2021-01-09,3,1
2021-01-11,1,1
2021-01-12,3,2
2021-01-14,6,3
2021-01-16,2,1
2021-01-18,2,1
2021-01-19,4,1
2021-01-20,17,11
2021-01-22,2,1
2021-01-25,1,1
2021-01-28,2,2
2021-02-01,7,4
2021-02-02,2,2
2021-02-03,3,3
2021-02-04,10,7
2021-02-08,4,3
2021-02-09,7,1
2021-02-10,2,2
2021-02-13,3,1
2021-02-14,2,2
2021-02-15,3,1
2021-02-16,3,3
2021-02-17,3,3
2021-02-18,5,3
2021-02-19,1,1
2021-02-20,1,1
2021-02-21,5,3
2021-02-22,5,5
2021-02-23,10,7
2021-02-24,3,3
2021-02-25,6,5
2021-02-26,1,1
2021-02-28,9,7
2021-03-01,4,4
2021-03-03,3,3
2021-03-04,4,4
2021-03-05,8,8
2021-03-06,2,2
2021-03-07,5,5
2021-03-08,16,11
2021-03-09,8,7
2021-03-10,17,13
2021-03-11,71,36
2021-03-12,6,6
2021-03-13,1,1
2021-03-14,4,3
2021-03-15,13,12
2021-03-16,11,9
2021-03-17,6,6
2021-03-18,19,15
2021-03-19,4,4
2021-03-20,4,4
2021-03-21,2,2
2021-03-22,14,11
2021-03-23,11,11
2021-03-25,1,1
2021-03-26,3,3
2021-03-27,1,1
2021-03-28,5,4
2021-03-29,50,24
2021-03-29,49,24
2021-03-29,18,16
2021-03-30,21,14
2021-03-31,16,11
2021-04-01,6,5
2021-04-02,1,1
2021-04-03,8,6
2021-04-04,4,2
2021-04-05,15,12
2021-04-05,14,12
2021-04-06,4,3
2021-04-07,13,12
2021-04-08,25,18
2021-04-09,14,13
2021-04-10,6,5
2021-04-12,26,17
2021-04-12,25,17
2021-04-13,26,10
2021-04-14,24,2
2021-04-15,63,16
2021-04-18,35,3
2021-04-18,39,4
2021-04-19,38,9
2021-04-19,39,9
2021-04-20,19,16
2021-04-21,34,10
2021-04-22,20,1
2021-04-23,3,2
2021-04-24,2,2
2021-04-25,24,1
2021-04-26,27,4
2021-04-26,26,3
2021-04-27,25,3
2021-04-28,32,10
2021-04-29,41,17
2021-04-30,5,5
2021-05-01,2,2
2021-05-02,24,1
2021-05-03,22,4
2021-05-03,19,1
2021-05-04,50,22
2021-05-05,25,1
2021-05-06,24,3
2021-05-07,2,2
2021-05-08,4,2
2021-05-09,27,2
2021-05-10,47,20
2021-05-10,46,20
2021-05-11,23,4
2021-05-12,29,7
2021-05-13,58,25
2021-05-14,23,18
2021-05-15,2,2
2021-05-16,27,1
2021-05-17,38,6
2021-05-17,41,9
2021-05-18,46,3
2021-05-19,36,4
2021-05-20,32,2
2021-05-22,3,2
2021-05-23,26,1
2021-05-24,34,10
2021-05-24,37,12
2021-05-25,25,1
2021-05-26,26,2
2021-05-27,28,4
2021-05-28,9,7
2021-05-30,25,1
2021-05-31,27,2
2021-05-31,29,4
2021-06-01,25,1
2021-06-02,24,3
2021-06-03,24,3
2021-06-04,1,1
2021-06-05,1,1
2021-06-06,26,1
2021-06-07,31,6
2021-06-08,26,1
2021-06-09,46,4
2021-06-10,41,9
2021-06-11,1,1
2021-06-13,25,1
2021-06-14,28,2
2021-06-15,29,4
2021-06-16,31,3
2021-06-17,23,2
2021-06-18,2,1
2021-06-20,27,2
2021-06-20,26,1
2021-06-21,33,8
2021-06-22,42,8
2021-06-23,43,6
